Altitude,Mach number,Angle of attack (AoA),Angle of sideslip (AoS),Total CL,Total CD,Directory Name
6700.0,0.6,1.0,5.0,0.232302,0.047040,Case53_alt6700.0_mach0.6_aoa1.0_aos5.0
7400.0,0.8,1.0,5.0,0.329157,0.081212,Case54_alt7400.0_mach0.8_aoa1.0_aos5.0
7400.0,1.1,1.0,5.0,0.192339,0.167316,Case55_alt7400.0_mach1.1_aoa1.0_aos5.0
7400.0,0.1,1.0,5.0,0.322946,0.202954,Case56_alt7400.0_mach0.1_aoa1.0_aos5.0
7400.0,0.1,0.0,10.0,0.327491,0.887876,Case58_alt7400.0_mach0.1_aoa0.0_aos10.0
8300.0,0.1,0.0,10.0,0.327491,0.887876,Case59_alt8300.0_mach0.1_aoa0.0_aos10.0
8300.0,0.1,3.0,10.0,0.564809,0.921269,Case60_alt8300.0_mach0.1_aoa3.0_aos10.0
8300.0,0.1,3.0,7.0,0.517964,0.452395,Case61_alt8300.0_mach0.1_aoa3.0_aos7.0
8300.0,0.1,3.0,3.0,0.461751,0.065398,Case62_alt8300.0_mach0.1_aoa3.0_aos3.0
8300.0,0.6,3.0,3.0,0.418424,0.042335,Case63_alt8300.0_mach0.6_aoa3.0_aos3.0
8300.0,0.9,3.0,3.0,0.567753,0.150255,Case64_alt8300.0_mach0.9_aoa3.0_aos3.0
8300.0,0.9,3.0,1.0,0.641576,0.120726,Case65_alt8300.0_mach0.9_aoa3.0_aos1.0
9000.0,0.9,3.0,1.0,0.641576,0.120726,Case66_alt9000.0_mach0.9_aoa3.0_aos1.0
9000.0,0.9,0.0,1.0,0.268646,0.069468,Case67_alt9000.0_mach0.9_aoa0.0_aos1.0
9600.0,0.9,0.0,1.0,0.268646,0.069468,Case68_alt9600.0_mach0.9_aoa0.0_aos1.0
9600.0,0.9,4.0,1.0,0.745491,0.144763,Case69_alt9600.0_mach0.9_aoa4.0_aos1.0
10200.0,0.9,4.0,1.0,0.745491,0.144763,Case70_alt10200.0_mach0.9_aoa4.0_aos1.0
10700.0,0.9,4.0,1.0,0.745491,0.144763,Case71_alt10700.0_mach0.9_aoa4.0_aos1.0
10700.0,0.9,2.0,1.0,0.527836,0.099768,Case72_alt10700.0_mach0.9_aoa2.0_aos1.0
10700.0,0.9,-2.0,1.0,-0.040743,0.060160,Case73_alt10700.0_mach0.9_aoa-2.0_aos1.0
10700.0,0.9,-2.0,4.0,-0.036734,0.123261,Case74_alt10700.0_mach0.9_aoa-2.0_aos4.0
10700.0,0.5,-2.0,4.0,-0.042578,0.035836,Case75_alt10700.0_mach0.5_aoa-2.0_aos4.0
10700.0,0.2,-2.0,4.0,-0.138613,0.003675,Case76_alt10700.0_mach0.2_aoa-2.0_aos4.0
10700.0,0.2,1.0,4.0,0.115288,0.004382,Case77_alt10700.0_mach0.2_aoa1.0_aos4.0
10700.0,0.2,1.0,6.0,0.060974,0.056354,Case78_alt10700.0_mach0.2_aoa1.0_aos6.0
10700.0,0.2,0.0,2.0,0.079990,-0.028131,Case79_alt10700.0_mach0.2_aoa0.0_aos2.0
10700.0,0.2,7.0,2.0,0.651112,0.033651,Case80_alt10700.0_mach0.2_aoa7.0_aos2.0
11100.0,0.2,7.0,2.0,0.651112,0.033651,Case81_alt11100.0_mach0.2_aoa7.0_aos2.0
11800.0,0.4,7.0,2.0,0.702758,0.074383,Case82_alt11800.0_mach0.4_aoa7.0_aos2.0
12600.0,0.4,6.0,2.0,0.632267,0.057681,Case83_alt12600.0_mach0.4_aoa6.0_aos2.0
13200.0,0.4,9.0,2.0,0.825633,0.113128,Case84_alt13200.0_mach0.4_aoa9.0_aos2.0
13200.0,0.9,9.0,2.0,1.116789,0.302263,Case85_alt13200.0_mach0.9_aoa9.0_aos2.0
13200.0,0.9,9.0,-1.0,1.145024,0.277830,Case86_alt13200.0_mach0.9_aoa9.0_aos-1.0
13800.0,0.9,9.0,-1.0,1.145024,0.277830,Case87_alt13800.0_mach0.9_aoa9.0_aos-1.0
13800.0,0.9,8.0,-1.0,1.087008,0.246581,Case88_alt13800.0_mach0.9_aoa8.0_aos-1.0
13800.0,1.0,8.0,-1.0,0.879268,0.245863,Case89_alt13800.0_mach1.0_aoa8.0_aos-1.0
