altitude,machNumber,angleOfAttack,angleOfSideslip,Total CL,Total CD
8822,0.4,-6,9,-0.407474,0.193840
1277,0.4,-3,1,-0.152267,-0.001381
9462,0.2,1,13,0.176435,0.632106
1411,0.3,0,10,0.122709,0.274559
2817,0.1,-12,-2,-0.923732,0.050914
5257,0.6,-5,10,-0.373419,0.172377
14333,0.4,7,5,0.770237,0.116417
13371,0.2,14,13,1.007788,0.786026
1880,0.5,-7,11,-0.519190,0.241599
804,0.3,-12,-3,-1.048454,0.071708
581,0.5,-7,4,-0.567934,0.058822
3988,0.3,-6,7,-0.397886,0.150671
2993,0.2,7,12,0.615113,0.581866
6139,0.3,10,2,0.997949,0.102466
6572,0.1,14,12,1.175819,1.313452
4381,0.2,3,4,0.395630,0.060794
8387,0.4,-14,-2,-1.215592,0.111256
12214,0.4,-8,9,-0.584384,0.212140
2633,0.1,1,12,0.225141,1.114728
838,0.2,1,-1,0.244355,-0.017252
11736,0.5,-1,10,0.049477,0.178372
931,0.1,3,8,0.397696,0.498432
6480,0.5,6,2,0.736549,0.061282
10736,0.4,-10,5,-0.805289,0.115584
1774,0.5,-4,6,-0.253537,0.075437
6426,0.5,-4,5,-0.256549,0.055177
654,0.2,3,8,0.364463,0.248037
9127,0.3,12,2,1.109327,0.140677
2810,0.3,-9,0,-0.734693,0.024572
3923,0.6,7,-4,0.775765,0.088664
11825,0.3,-10,9,-0.709221,0.277959
6256,0.3,5,3,0.599387,0.050811
13883,0.5,-14,5,-1.089199,0.193447
6390,0.4,3,5,0.428478,0.072887
4024,0.2,-3,11,-0.124616,0.453411
13519,0.6,5,-3,0.679605,0.049513
240,0.3,-1,7,0.043293,0.134826
9522,0.4,6,-2,0.755186,0.039707
4724,0.5,-3,-2,-0.163819,-0.003387
4154,0.3,-8,11,-0.526272,0.362893
895,0.2,5,1,0.591534,0.012907
2825,0.2,7,6,0.697879,0.175436
14994,0.2,-6,-3,-0.438968,0.013691
9217,0.4,1,11,0.217718,0.261177
11467,0.6,-14,-2,-1.061025,0.142104
3052,0.2,-3,2,-0.136121,-0.002224
327,0.6,-2,12,-0.048755,0.219865
10758,0.2,-14,0,-1.139065,0.081258
2611,0.2,-6,-2,-0.434591,-0.002231
3581,0.2,4,5,0.471238,0.103597
5847,0.2,-13,7,-0.942647,0.272978
6075,0.2,-9,11,-0.585706,0.493777
3065,0.6,-10,6,-0.887498,0.142619
3390,0.3,6,4,0.672919,0.082216
13812,0.4,-10,3,-0.828181,0.076310
3546,0.2,9,-1,0.939679,0.054981
8405,0.2,-7,7,-0.468375,0.199747
14421,0.5,3,13,0.409019,0.305180
6365,0.1,-14,8,-0.993156,0.604870
131,0.2,3,-4,0.447247,0.043029
13068,0.4,0,12,0.128339,0.303664
2992,0.3,5,-4,0.661271,0.047585
13852,0.5,-7,1,-0.584962,0.024039
10285,0.3,7,2,0.777915,0.057290
3211,0.2,0,-3,0.155054,0.005228
2294,0.4,-4,10,-0.223419,0.220845
13489,0.4,-2,8,-0.046645,0.141357
3455,0.3,13,-1,1.196958,0.144877
5905,0.3,3,-3,0.462033,0.016297
6032,0.3,-15,13,-0.970739,0.591961
14838,0.1,2,-3,0.330150,0.023872
5043,0.1,12,2,1.134742,0.140989
14614,0.3,-12,8,-0.879268,0.260127
10694,0.5,-1,4,0.052115,0.032606
5676,0.5,-11,4,-0.943118,0.113954
11616,0.5,-5,12,-0.325792,0.261372
3068,0.2,-7,10,-0.443383,0.395706
1114,0.5,10,2,0.857135,0.136059
14739,0.6,3,11,0.463744,0.210637
14920,0.6,7,9,0.705686,0.214295
9328,0.2,0,3,0.137635,0.019529
3784,0.1,13,-1,1.220982,0.125208
5314,0.4,-2,2,-0.049622,0.006370
9798,0.5,14,14,0.836405,0.538268
14260,0.4,-15,5,-1.164960,0.207964
6894,0.2,-14,12,-0.911531,0.650373
8991,0.2,-8,6,-0.561024,0.157182
11621,0.5,-10,7,-0.828718,0.159775
13947,0.3,-14,5,-1.081301,0.184169
12956,0.6,-11,10,-0.926245,0.261808
804,0.1,-7,4,-0.465015,0.111955
6292,0.3,-14,-1,-1.188229,0.094255
5546,0.2,-1,10,0.033855,0.372187
724,0.1,13,3,1.198377,0.207821
1735,0.5,7,6,0.771580,0.139277
6836,0.5,-5,-1,-0.380155,0.002406
4032,0.2,13,3,1.151558,0.164553
14439,0.4,12,-2,1.081330,0.150748
5178,0.5,0,12,0.142625,0.250424
2071,0.3,-4,2,-0.239654,0.007674
407,0.4,-7,4,-0.537043,0.060225
1083,0.4,2,11,0.303286,0.265774
11629,0.6,11,13,0.729490,0.408256
11892,0.2,-6,11,-0.358001,0.467504
8982,0.1,-15,10,-1.037036,0.913266
4368,0.3,-5,1,-0.340744,0.000591
4022,0.5,-9,0,-0.795219,0.040565
6528,0.2,8,1,0.838007,0.046027
12306,0.5,-12,5,-1.005846,0.151247
1610,0.4,-1,10,0.043974,0.214993
1692,0.6,-1,12,0.057198,0.219607
9676,0.1,-4,6,-0.198240,0.258458
6854,0.4,-13,8,-0.999471,0.252034
2468,0.5,8,4,0.836119,0.120646
10212,0.6,-4,9,-0.268123,0.138366
10464,0.5,-1,11,0.049130,0.212299
8700,0.5,-10,14,-0.749478,0.398988
2499,0.2,-9,9,-0.610053,0.342338
2317,0.4,9,2,0.940413,0.099154
256,0.3,4,14,0.408629,0.544253
11780,0.2,10,8,0.880581,0.323907
3709,0.6,-10,9,-0.868900,0.213146
625,0.6,-7,12,-0.577576,0.254543
5002,0.5,5,12,0.581140,0.287097
5856,0.5,3,1,0.470620,0.018116
13978,0.2,-11,6,-0.807037,0.191539
8001,0.3,-12,6,-0.913895,0.181388
4961,0.5,10,-1,0.888547,0.122873
3635,0.1,-7,-4,-0.491731,0.081126
3031,0.4,-11,13,-0.772590,0.426398
10380,0.4,2,2,0.350160,0.016134
10753,0.4,2,13,0.291974,0.359140
6317,0.5,-8,8,-0.637175,0.157945
14783,0.2,7,-3,0.798839,0.054519
4816,0.6,1,-2,0.284603,0.003539
11069,0.5,-1,0,0.054384,-0.004833
5711,0.4,-11,12,-0.788994,0.378220
12248,0.1,-14,-1,-1.080587,0.066335
8048,0.3,7,13,0.630849,0.503901
1455,0.3,12,11,0.949317,0.459292
11639,0.2,-9,6,-0.644770,0.167236
1539,0.1,-9,3,-0.641787,0.072623
7487,0.1,1,6,0.233184,0.260910
626,0.5,-5,8,-0.346290,0.130112
7913,0.5,5,7,0.619890,0.131986
2198,0.2,-15,1,-1.198301,0.107573
9358,0.2,-8,-3,-0.635492,0.027259
79,0.4,-15,13,-1.012127,0.500424
14025,0.5,0,4,0.155277,0.034373
12187,0.3,-14,6,-1.061749,0.216331
11685,0.3,6,-1,0.726197,0.028307
7836,0.6,1,4,0.276580,0.038009
2321,0.5,2,7,0.346674,0.103346
8023,0.5,9,2,0.873108,0.115474
4249,0.5,12,3,0.800962,0.179865
5912,0.2,1,6,0.212960,0.130450
7929,0.5,8,13,0.748040,0.370960
11142,0.6,12,-3,0.866052,0.178763
4583,0.1,5,11,0.547161,0.966952
7927,0.2,1,10,0.192455,0.375591
13288,0.3,0,11,0.119752,0.330402
11017,0.2,10,1,0.988453,0.075038
5063,0.5,-7,1,-0.584962,0.024039
10986,0.4,8,5,0.841646,0.131832
11720,0.2,-12,-1,-0.987174,0.049169
6158,0.5,-6,8,-0.444526,0.137500
2547,0.3,1,13,0.191575,0.458525
1712,0.2,7,8,0.671199,0.282974
7712,0.3,1,-4,0.265841,0.020910
13847,0.2,-9,12,-0.573405,0.579722
13846,0.1,6,7,0.646460,0.409263
13928,0.2,-14,7,-1.013602,0.290119
5014,0.2,-10,11,-0.658906,0.505220
2009,0.4,-13,14,-0.888691,0.511653
12501,0.6,-12,5,-1.002523,0.164832
8725,0.4,7,10,0.710960,0.272501
2996,0.6,-8,-1,-0.736342,0.032715
13832,0.5,11,10,0.741645,0.318711
1138,0.5,5,9,0.604937,0.186114
8413,0.4,13,7,0.954514,0.289489
4525,0.1,-11,-1,-0.834200,0.017267
12854,0.1,-8,1,-0.565497,-0.009445
7815,0.4,14,11,0.884517,0.457159
11584,0.3,4,-1,0.544386,0.009048
13943,0.4,0,8,0.137774,0.142533
7877,0.6,13,-1,0.910817,0.207654
5683,0.4,5,10,0.560078,0.247892
2824,0.4,-14,1,-1.175060,0.121077
12998,0.5,-8,9,-0.628764,0.187021
8844,0.6,2,7,0.376359,0.097393
13206,0.5,10,5,0.825979,0.176489
5011,0.4,13,5,0.982521,0.239660
2335,0.4,-6,1,-0.457730,0.011966
7140,0.4,-12,7,-0.943361,0.201252
10935,0.1,7,10,0.708146,0.828172
8779,0.6,-13,-1,-1.059022,0.123789
9826,0.5,-2,10,-0.046874,0.178664
9880,0.5,-1,8,0.050248,0.118493
5296,0.6,10,4,0.734474,0.163174
1025,0.4,-8,5,-0.623247,0.091051
14054,0.4,11,1,1.034029,0.130601
9190,0.3,8,10,0.742186,0.337238
11558,0.5,-4,2,-0.264703,0.012431
10177,0.4,-12,12,-0.861033,0.394843
4534,0.4,-10,12,-0.712762,0.363334
14216,0.3,-9,-3,-0.763345,0.035161
14976,0.6,8,11,0.697800,0.286339
9299,0.3,4,11,0.438172,0.349594
11590,0.1,-8,13,-0.491075,1.336562
225,0.2,-12,1,-0.960480,0.057116
1969,0.1,-7,12,-0.420280,1.133223
5575,0.4,-3,8,-0.139023,0.143227
7809,0.4,-1,-2,0.055136,-0.006232
13036,0.5,12,0,0.828875,0.158035
8746,0.3,-2,9,-0.044512,0.222662
11993,0.6,0,-4,0.173201,0.010021
3847,0.2,-8,13,-0.489640,0.662457
3795,0.1,-9,13,-0.567507,1.347942
3564,0.6,14,9,0.896357,0.383070
1989,0.3,3,-3,0.462033,0.016297
5227,0.5,10,10,0.775367,0.300705
11458,0.5,0,7,0.150535,0.094396
11676,0.1,2,12,0.305361,1.119956
4574,0.4,-5,12,-0.299371,0.313722
