Total CL,Total CD
1.174047,0.240713
0.936729,0.162767
1.141863,0.375465
-0.040994,0.296728
0.524847,0.327215
0.414059,0.927051
1.162523,0.205722
0.855536,0.079317
0.651144,0.228286
0.914495,0.343343
0.439181,0.365650
1.119234,0.173334
0.740706,0.027923
0.405564,0.171135
-0.049857,-0.006816
