Altitude,Mach,AoA,AoS,Total CL,Total CD
11068.0,0.5,-6.0,10.0,-0.432370,0.197977
2671.0,0.2,11.0,8.0,0.944471,0.340497
11796.0,0.3,-12.0,8.0,-0.879268,0.260127
14526.0,0.2,4.0,14.0,0.383326,0.745278
13030.0,0.3,-9.0,4.0,-0.691078,0.081991
2389.0,0.5,-3.0,8.0,-0.147937,0.120709
8958.0,0.2,5.0,8.0,0.521217,0.262799
11899.0,0.3,1.0,11.0,0.200921,0.332889
9997.0,0.1,-3.0,9.0,-0.105868,0.616232
2947.0,0.1,-14.0,-3.0,-1.093054,0.118859
9253.0,0.4,3.0,3.0,0.441021,0.035582
3120.0,0.2,4.0,7.0,0.452971,0.197165
234.0,0.3,5.0,8.0,0.547322,0.205943
4538.0,0.4,-5.0,2.0,-0.352251,0.015465
11436.0,0.2,-5.0,3.0,-0.317854,0.026129
6191.0,0.2,0.0,6.0,0.127686,0.127793
4493.0,0.2,6.0,0.0,0.685886,0.016520
10810.0,0.2,-3.0,4.0,-0.133778,0.048241
6652.0,0.4,12.0,13.0,0.872028,0.493977
10293.0,0.6,10.0,0.0,0.750240,0.127302
9556.0,0.1,11.0,-3.0,1.082373,0.136759
13221.0,0.3,0.0,13.0,0.114002,0.456211
8803.0,0.2,-11.0,6.0,-0.807037,0.191539
4125.0,0.5,5.0,2.0,0.654133,0.047187
2653.0,0.4,-4.0,11.0,-0.219188,0.262990
5494.0,0.5,8.0,0.0,0.871569,0.083453
4636.0,0.5,-4.0,-1.0,-0.271572,-0.002148
9456.0,0.5,3.0,4.0,0.456691,0.050864
969.0,0.3,3.0,1.0,0.436281,0.007745
14985.0,0.2,-1.0,0.0,0.052425,-0.023413
9536.0,0.4,8.0,13.0,0.735225,0.420772
13211.0,0.4,1.0,12.0,0.213725,0.306394
75.0,0.3,-8.0,3.0,-0.611285,0.049904
1602.0,0.1,-2.0,13.0,-0.016452,1.301987
3682.0,0.6,-2.0,7.0,-0.052572,0.084186
87.0,0.3,-15.0,9.0,-1.062464,0.361091
9414.0,0.3,6.0,6.0,0.649603,0.139263
12906.0,0.3,-13.0,10.0,-0.913675,0.374584
13665.0,0.6,-1.0,8.0,0.056725,0.106610
14183.0,0.5,0.0,14.0,0.139333,0.330683
8358.0,0.3,4.0,-1.0,0.544386,0.009048
9643.0,0.2,9.0,5.0,0.859447,0.158589
12219.0,0.3,-8.0,-2.0,-0.655864,0.017132
2579.0,0.4,12.0,-2.0,1.081330,0.150748
5381.0,0.4,6.0,7.0,0.670895,0.154834
12192.0,0.2,12.0,7.0,1.023148,0.301598
4193.0,0.5,12.0,11.0,0.723505,0.365718
10813.0,0.4,-9.0,2.0,-0.745420,0.049516
3004.0,0.2,13.0,9.0,1.041092,0.442064
606.0,0.2,-10.0,0.0,-0.797693,0.023448
12236.0,0.3,-1.0,2.0,0.050478,0.003576
4936.0,0.1,11.0,10.0,1.001766,0.899205
10134.0,0.4,11.0,6.0,0.967337,0.212523
11804.0,0.3,-13.0,3.0,-1.043482,0.116301
8936.0,0.3,11.0,6.0,0.992560,0.214084
6239.0,0.2,-8.0,10.0,-0.521453,0.404629
3214.0,0.5,-6.0,11.0,-0.425996,0.232150
10863.0,0.5,-10.0,1.0,-0.883735,0.060629
9096.0,0.3,13.0,14.0,0.928194,0.670487
11209.0,0.4,-3.0,3.0,-0.148941,0.021021
3491.0,0.4,1.0,2.0,0.251554,0.011277
265.0,0.6,-2.0,4.0,-0.054445,0.031421
1157.0,0.4,11.0,3.0,1.008227,0.152315
8239.0,0.4,7.0,-2.0,0.840508,0.053176
10173.0,0.3,3.0,11.0,0.360012,0.342461
8593.0,0.6,9.0,-3.0,0.753540,0.112471
10494.0,0.2,-9.0,-2.0,-0.724070,0.020735
5024.0,0.3,3.0,14.0,0.335825,0.537496
12993.0,0.2,-9.0,0.0,-0.706446,0.012639
1044.0,0.6,-6.0,9.0,-0.484478,0.153487
13114.0,0.6,8.0,8.0,0.712062,0.205414
7606.0,0.3,-3.0,-1.0,-0.147480,-0.012941
3734.0,0.1,-2.0,-4.0,-0.033235,0.063718
3228.0,0.5,2.0,-1.0,0.375911,0.004727
7772.0,0.4,14.0,-2.0,1.060701,0.208412
9602.0,0.6,-11.0,4.0,-0.965979,0.127592
12425.0,0.4,-2.0,0.0,-0.050204,-0.008040
367.0,0.5,-9.0,5.0,-0.756957,0.100127
6444.0,0.3,9.0,6.0,0.871285,0.179481
9535.0,0.6,1.0,12.0,0.267539,0.225844
11326.0,0.3,9.0,-4.0,1.005446,0.097248
14947.0,0.3,-7.0,8.0,-0.475460,0.199818
5471.0,0.4,-7.0,-3.0,-0.581971,0.019848
2453.0,0.5,-9.0,7.0,-0.739545,0.144643
2847.0,0.6,-5.0,-2.0,-0.403435,0.006046
13757.0,0.6,11.0,10.0,0.743755,0.314005
8024.0,0.6,-11.0,0.0,-0.990695,0.087324
1947.0,0.4,10.0,-4.0,1.057296,0.121763
11083.0,0.4,14.0,14.0,0.840567,0.594256
8306.0,0.3,10.0,7.0,0.918854,0.231714
11305.0,0.4,-10.0,8.0,-0.768095,0.201538
14381.0,0.6,1.0,3.0,0.277970,0.025561
1821.0,0.4,8.0,3.0,0.865249,0.094716
14620.0,0.3,9.0,8.0,0.839959,0.255985
8678.0,0.6,6.0,11.0,0.670361,0.254053
4385.0,0.5,8.0,-3.0,0.895601,0.088252
4740.0,0.2,7.0,3.0,0.735286,0.068236
12338.0,0.3,10.0,11.0,0.850374,0.422826
1285.0,0.4,6.0,1.0,0.729860,0.043533
11084.0,0.1,-11.0,9.0,-0.758086,0.687169
6167.0,0.6,-10.0,4.0,-0.899514,0.107505
8376.0,0.3,0.0,10.0,0.122709,0.274559
2996.0,0.3,1.0,10.0,0.205452,0.277150
11560.0,0.4,-13.0,3.0,-1.078041,0.126076
10368.0,0.2,8.0,2.0,0.825718,0.059626
412.0,0.3,-4.0,-3.0,-0.253831,0.003465
3008.0,0.3,1.0,-2.0,0.258455,-0.004211
12328.0,0.3,-10.0,8.0,-0.723837,0.231468
6770.0,0.4,7.0,-3.0,0.848960,0.059745
2673.0,0.3,-3.0,-3.0,-0.150048,0.001195
12875.0,0.4,3.0,11.0,0.387423,0.272007
1429.0,0.1,3.0,14.0,0.378004,1.526779
12156.0,0.2,1.0,14.0,0.171101,0.730934
9360.0,0.2,-6.0,6.0,-0.390874,0.141371
